4/15/2019,credit,25.0,25.0,0.0
4/15/2019,credit,457.0,482.0,25.0
4/15/2019,credit,87.0,569.0,482.0
4/15/2019,credit,125.0,694.0,569.0
4/16/2019,credit,412.0,1106.0,694.0
4/16/2019,debit,207.0,899.0,1106.0
4/16/2019,debit,264.0,635.0,899.0
4/16/2019,debit,119.0,516.0,635.0
4/17/2019,credit,63.0,579.0,516.0
4/17/2019,credit,210.0,789.0,579.0
4/17/2019,credit,274.0,1063.0,789.0
4/17/2019,credit,351.0,1414.0,1063.0
4/18/2019,credit,419.0,1833.0,1414.0
4/18/2019,credit,447.0,2280.0,1833.0
4/18/2019,debit,408.0,1872.0,2280.0
4/19/2019,debit,171.0,1701.0,1872.0
4/19/2019,debit,94.0,1607.0,1701.0
4/20/2019,debit,500.0,1107.0,1607.0
4/21/2019,debit,381.0,726.0,1107.0
4/21/2019,credit,10.0,736.0,726.0
4/21/2019,credit,10.0,746.0,736.0
4/21/2019,credit,10.0,756.0,746.0
4/21/2019,credit,10.0,766.0,756.0
